"","true","gods","naive","chao","l","N","S","comsize","saddef"
"312",150,128.027957037208,108,140.281461538462,1,500,150,22026,2
"313",118.424557980948,123.72072122676,60.2409638554217,150,-1,100,150,22026,3
"314",132.481889799355,137.810544021487,66.0786274317889,140.957858473946,0,100,150,22026,3
"315",150,154.00019205103,72,138.0275,1,100,150,22026,3
"316",118.424557980948,115.999578681272,72.2021660649819,112.429378531074,-1,200,150,22026,3
"317",132.481889799355,127.18892007471,84.8694418726339,131.67747786375,0,200,150,22026,3
"318",150,140.750179016056,101,157.534090909091,1,200,150,22026,3
"319",118.424557980948,119.756420247567,86.0420650095602,120.241286863271,-1,300,150,22026,3
"320",132.481889799355,134.306661762089,100.444733874443,130.783582289073,0,300,150,22026,3
"321",150,151.776234633658,120,139.988703703704,1,300,150,22026,3
"322",118.424557980948,117.670313702026,93.423019431988,114.659926470589,-1,500,150,22026,3
"323",132.481889799355,131.112012978023,111.155261549289,132.512646900758,0,500,150,22026,3
"324",150,148.545944731691,138,159.797227272727,1,500,150,22026,3
"325",49.7293353713889,49.3491362892927,35.9712230215827,55.6179775280898,-1,100,150,22026,4
"326",78.1711955132728,81.8161286355015,45.0202421239433,71.2230621515187,0,100,150,22026,4
"327",150,176.548856462544,55,79.75,1,100,150,22026,4
"328",49.7293353713889,46.4022752409543,37.6647834274953,46.1716937354989,-1,200,150,22026,4
"329",78.1711955132728,71.0361879243274,53.436528934084,71.5897447847564,0,200,150,22026,4
"330",150,135.927644833614,76,103.088875,1,200,150,22026,4
"331",49.7293353713889,51.873891130615,48.2832618025751,57.3529411764706,-1,300,150,22026,4
"332",78.1711955132728,80.4151786507675,66.117648001315,83.5850117330001,0,300,150,22026,4
"333",150,143.973774484518,96,124.425763888889,1,300,150,22026,4
"334",49.7293353713889,46.0367357517285,38.7356678029129,41.9046019482702,-1,500,150,22026,4
"335",78.1711955132728,68.8739442295565,58.3001842279441,66.6756059188296,0,500,150,22026,4
"336",150,124.117121813961,99,121.087315789474,1,500,150,22026,4
"337",75.9389082271001,78.1451784573902,43.4782608695652,76.153846153846,-1,100,150,22026,5
"338",98.9520692846993,113.106636847645,51.8605510344554,94.5762684533718,0,100,150,22026,5
"339",150,238.286419890951,61,108.652,1,100,150,22026,5
"340",75.9389082271001,79.2886841015857,60.2409638554217,85.7758620689656,-1,200,150,22026,5
"341",98.9520692846993,110.090270185569,73.3573418354004,101.552620904771,0,200,150,22026,5
"342",150,219.390343284996,90,113.485431034483,1,200,150,22026,5
