"","true","gods","naive","chao","l","N","S","comsize","saddef"
"312",30,30.142151794018,28,28.124375,1,200,30,442413,11
"313",19.0157716603822,19.4214617234899,18.75,19.9333333333333,-1,300,30,442413,11
"314",22.4461160612816,22.7014666339674,21.6468397179236,22.7741552071087,0,300,30,442413,11
"315",30,26.9915884600711,27,29.99,1,300,30,442413,11
"316",9.15549146401218,8.41404160339838,7.40740740740741,7.91999999999998,-1,100,30,442413,12
"317",15.4908320008635,14.423249642364,12.30394829277,13.8173827368127,0,100,30,442413,12
"318",30,30.6643619908247,20,21.98,1,100,30,442413,12
"319",9.15549146401218,10.2912975028054,10.9829763866008,11.5630447414294,-1,200,30,442413,12
"320",15.4908320008635,18.1473432297537,16.4634690401938,17.6581010226979,0,200,30,442413,12
"321",30,35.8588115592678,26,27.119375,1,200,30,442413,12
"322",9.15549146401218,8.79036955622588,8.2221816188562,8.42569979334962,-1,300,30,442413,12
"323",15.4908320008635,14.505726815632,13.5768137312721,14.2976129715284,0,300,30,442413,12
"324",30,27.0826004690277,26,29.9866666666667,1,300,30,442413,12
"325",7.40021489738309,7.91913754297808,7.88643533123028,8.47602739726027,-1,100,30,729416,1
"326",11.3372333219594,12.4479490343141,10.545933248453,11.7000876669828,0,100,30,729416,1
"327",30,29.4921007996292,16,19.96,1,100,30,729416,1
"328",7.40021489738309,7.24492206069113,6.88468158347676,7.09447415329769,-1,200,30,729416,1
"329",11.3372333219594,11.0005030187732,10.2180358467673,10.8946664072606,0,200,30,729416,1
"330",30,33.5101929202105,21,24.109375,1,200,30,729416,1
"331",7.40021489738309,7.40452243231433,7.31945348080677,7.47749249749917,-1,300,30,729416,1
"332",11.3372333219594,10.8152310451816,10.364341480003,10.8020394207544,0,300,30,729416,1
"333",30,21.2620130085489,20,23.9866666666667,1,300,30,729416,1
"334",12.7103284444548,13.1219688494099,12.3152709359606,13.9044943820224,-1,100,30,729416,2
"335",17.6728197894469,19.0091712246328,16.1219050200435,18.4304492673144,0,100,30,729416,2
"336",30,45.629663650918,23,25.0625,1,100,30,729416,2
"337",12.7103284444548,13.0530339003691,12.5628140703518,13.3378016085791,-1,200,30,729416,2
"338",17.6728197894469,18.8688916612483,17.4682736666297,18.7649628805227,0,200,30,729416,2
"339",30,28.6096926871355,25,27.985,1,200,30,729416,2
"340",12.7103284444548,12.4490935009272,11.9808306709265,12.4376039933444,-1,300,30,729416,2
"341",17.6728197894469,17.2356453837776,16.6042000661674,17.3641527717511,0,300,30,729416,2
"342",30,32.495958322465,26,26.4983333333333,1,300,30,729416,2
"343",24.3909657835694,25.7126974016081,21.7391304347826,27.4999999999999,-1,100,30,729416,3
"344",26.9525556454114,28.497410114162,24.329929364074,28.5018018826853,0,100,30,729416,3
