"size","lcl","ucl","est","obs"
3162,7.96375103776892,13.0954780904519,108.19898798229,105
5623,13.1603602577531,25.99971776999,124.497599146363,111
10000,5.84302003986264,12.7682087101373,117.642792857143,117
100,22.6031850997899,46.4074399002101,66.62,40
178,27.7826793791648,61.9182636384917,82.5435393258427,46
316,23.3540229661933,40.5632040907687,101.031501726122,68
562,24.0814439042167,49.3193078751427,107.509913573971,73
1000,14.9619681166753,23.3563588922533,101.73425,86
1778,13.4435675628624,23.4924823644905,112.128975355353,99
3162,15.7813578832303,27.690649620651,122.744070208729,104
5623,8.26361569170129,14.2078402069039,115.570615583954,111
10000,12.4874640028571,30.0240719971428,129.9985,115
100,25.3987357692308,63.2209070879121,62.611,34
178,25.4625950390475,49.1106704103907,80.3230337078652,49
316,9.6475065722973,16.6644612067591,58.5601265822785,55
562,18.7822895226085,35.4903409107927,98.0874110320285,77
1000,10.6273550418523,16.1395188867191,87.7589411764706,82
1778,10.1836012570772,16.2778325187789,106.996062992126,100
3162,9.89628192539192,15.5420101880484,115.04007221168,110
5623,7.63598356643652,14.0736030802442,120.499377556465,117
10000,3.43574306392857,6.39680693607143,113,113
100,14.9923613118132,30.8763261881868,46.9425,33
178,13.4425608153337,24.1182783700595,62.5064205457464,51
316,20.4104279633713,34.0519830334641,79.1518987341772,57
562,13.1063076861372,21.3635544135069,91.7437722419929,80
1000,13.7425688606174,22.4941161393827,99.1232272727273,86
1778,14.3569984818543,24.2668275739796,117.277679575767,103
3162,10.1425523116933,17.6376324342481,112.141230685823,107
5623,7.72225997245329,15.7780990440859,118.082607149209,114
10000,8.98345235228021,20.2315903262912,122.1243875,116
100,49.3437252321429,132.180837267857,104.5275,33
178,50.6847337767102,137.279326215264,127.213483146067,47
316,22.7978459884724,34.3172252140592,90.2958860759494,61
562,17.8648680733494,29.6546381544085,91.0097864768683,71
1000,12.7241730202046,21.4772218661591,100.104269230769,89
1778,13.9730461657027,19.7722915264608,111.214223222097,97
3162,18.2007070562316,30.1737018573827,125.326586548598,104
5623,7.71568583073366,14.5373263513755,113.499377556465,110
10000,8.54637022249999,23.5799519025,121.9994,116
100,20.7291862376374,46.7718673337912,58.8425,35
178,22.0205410463421,42.7312847963545,74.7378277153558,48
316,16.4372133503856,25.7585936116397,76.3359298928919,61
562,17.3136956703026,31.408346144644,96.534824605999,76
1000,11.2465033782961,19.738757198627,94.0276785714286,86
1778,12.1291249458467,19.7138157549504,113.109132992991,102
3162,12.0059137952569,23.3859613365162,115.559159550917,105
5623,7.47201826452786,13.3332948468006,118.499377556465,115
10000,5.9704636117857,13.9277463882143,115.6664,113
100,22.4948437307692,59.4273062692307,56.255,32
178,28.0029965608595,56.8091242256572,85.7977528089888,50
316,19.0131813603543,30.2495745964588,93.4620253164557,71
562,21.6891688856088,39.2448561737031,101.40293594306,75
1000,14.0603521003073,20.1890970474199,104.4865,91
1778,18.2795197746031,31.9173656750849,125.9848143982,99
3162,14.4892615547297,27.920215749144,125.066345893196,109
5623,6.74138621581011,14.2429649589799,113.961367460567,113
10000,5.30725620892858,12.6197223625,116.642792857143,116
100,15.9887131593407,50.5912511263736,40.88,29
178,18.9824789493278,38.8103147176793,63.526886035313,43
316,12.6458101170675,21.5148931531591,67.8149951314508,58
