"samp","chaoest","cover","coverage","l","size","comm","reps"
66,97.9612590799032,66,0.831,1,177,4,2
6.55051167672527,6.66800643086816,6.428,0.871,-1,316,1,2
14.804451598948,16.8309632163153,13.245,0.871,0,316,1,2
51,72.9303797468354,35.506,0.871,1,316,1,2
17.3844011142061,18.3382461311717,16.623,0.871,-1,316,2,2
31.5212951921983,36.0624462237865,28.17,0.871,0,316,2,2
63,76.2911392405063,49.496,0.871,1,316,2,2
19.3219814241486,20.515251442704,18.948,0.87,-1,316,3,2
37.4878356251723,44.7801766615178,35.406,0.87,0,316,3,2
76,99.6092604930047,67.091,0.87,1,316,3,2
33.4862508383635,37.3368342085521,33.486,0.871,-1,316,4,2
51.8767799137147,66.7421653068803,51.877,0.871,0,316,4,2
89,148.845727848101,89,0.871,1,316,4,2
7.07155651083647,7.14892748628181,7.012,0.924,-1,562,1,2
16.2664276189709,17.7602444606233,15.336,0.924,0,562,1,2
65,88.9956884752258,50.679,0.924,1,562,1,2
18.9491240700744,19.5754377250714,18.362,0.924,-1,562,2,2
32.6503314223746,35.7548474430006,30.138,0.924,0,562,2,2
73,93.1307829181495,57.79,0.924,1,562,2,2
21.2346376226973,22.0292062604808,21.235,0.924,-1,562,3,2
40.9213998359273,48.0840321672882,40.921,0.924,0,562,3,2
99,175.904581850534,99,0.924,1,562,3,2
39.5398097145719,42.456504174522,38.675,0.924,-1,562,4,2
60.6695001465991,68.5633014336539,58.24,0.924,0,562,4,2
107,124.013151787096,98.449,0.924,1,562,4,2
6.66737785363772,6.70541803146644,6.633,0.956,-1,1000,1,2
15.5115888309876,16.3131154415858,14.877,0.956,0,1000,1,2
74,91.2684285714286,59.224,0.956,1,1000,1,2
16.0807898883993,16.3272644068904,15.722,0.956,-1,1000,2,2
29.8980065873562,31.2658811901164,27.997,0.956,0,1000,2,2
75,83.44155,60.813,0.956,1,1000,2,2
20.5254515599343,20.9346186085498,20.525,0.956,-1,1000,3,2
46.7465494619792,51.3939488474924,46.747,0.956,0,1000,3,2
132,170.68128,132,0.956,1,1000,3,2
35.5340771800156,36.8064254660671,35.51,0.956,-1,1000,4,2
61.6380280077784,67.9398643750139,61.523,0.956,0,1000,4,2
140,175.522134615385,139.174,0.956,1,1000,4,2
6.44436652736724,6.46417143371552,6.427,0.975,-1,1778,1,2
15.6807602534676,16.1622836717657,15.264,0.975,0,1778,1,2
88,98.6116753788129,74.023,0.975,1,1778,1,2
19.5905260026771,19.7976439626543,19.308,0.975,-1,1778,2,2
34.5822387312279,35.8298762334153,33.207,0.975,0,1778,2,2
90,126.104682227222,74.938,0.975,1,1778,2,2
19.0884960027051,19.2848004687672,19.088,0.975,-1,1778,3,2
44.0439029754896,46.7953595972112,44.044,0.975,0,1778,3,2
144,200.218363329584,144,0.975,1,1778,3,2
36.3541479794844,37.0921108241372,36.188,0.975,-1,1778,4,2
