"qtile","truediv","chaoest","obsD","l","inds","reps"
87.75,50,41.5966386554621,29.585798816568,-1,100,500
91.1,50,40.5737704918032,29.0697674418605,-1,100,500
6.95,50,60.3658536585365,37.8787878787879,-1,100,500
59.05,50,49.0099009900989,33.112582781457,-1,100,500
90.9,50,39.5999999999999,28.5714285714286,-1,100,500
65.6,50,47.5961538461537,32.4675324675325,-1,100,500
95.35,50,39.2857142857142,28.4090909090909,-1,100,500
39.05,50,53.2258064516128,34.965034965035,-1,100,500
89.7,50,42.3076923076922,29.940119760479,-1,100,500
86.6,50,42.3076923076922,29.940119760479,-1,100,500
1.8,50,67.808219178082,40.650406504065,-1,100,500
35.85,50,54.3956043956043,35.4609929078014,-1,100,500
19.05,50,55.6179775280898,35.9712230215827,-1,100,500
3.5,50,60.3658536585364,37.8787878787879,-1,100,500
81.45,50,43.0434782608695,30.3030303030303,-1,100,500
8.4,50,63.4615384615383,39.0625,-1,100,500
9.2,50,60.3658536585365,37.8787878787879,-1,100,500
68.2,50,47.5961538461537,32.4675324675325,-1,100,500
92.55,50,40.9090909090908,29.2397660818713,-1,100,500
97.55,50,37.7862595419846,27.6243093922652,-1,100,500
69.75,50,46.6981132075471,32.0512820512821,-1,100,500
95.95,50,37.7862595419847,27.6243093922652,-1,100,500
20.9,50,55.6179775280898,35.9712230215827,-1,100,500
57.6,50,49.0099009900989,33.112582781457,-1,100,500
66.2,50,47.5961538461537,32.4675324675325,-1,100,500
99.2,50,34.6153846153845,25.9067357512953,-1,100,500
