"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
14.3175517654441,14.7093364650616,14.041,0.91,288,-1,501,"comm1",1
25.1037119481386,27.7517819837256,23.476,0.91,288,0,501,"comm1",1
69,89.2095808383233,53.947,0.91,288,1,501,"comm1",1
24.5862474287393,25.8034610630407,23.466,0.91,249,-1,501,"comm2",1
38.2469865690248,43.078091859402,34.834,0.91,249,0,501,"comm2",1
75,112.480594366822,58.334,0.91,249,1,501,"comm2",1
34.0802443991853,36.4947552447552,34.08,0.91,501,-1,501,"comm3",1
53.8882462357935,64.4584431460523,53.888,0.91,501,0,501,"comm3",1
104,167.15494011976,104,0.91,501,1,501,"comm3",1
45.3152193536739,49.7221119491861,44.941,0.91,458,-1,501,"comm4",1
68.7020321935478,82.3313317108024,67.685,0.91,458,0,501,"comm4",1
113,168.01497005988,109.273,0.91,458,1,501,"comm4",1
15.1891891891892,15.5833333333334,15.08,0.929,437,-1,562,"comm1",1
25.5502983538129,28.8735865662175,24.89,0.929,437,0,562,"comm1",1
72,133.141014234875,63.691,0.929,437,1,562,"comm1",1
24.8383139351997,25.9405956886622,23.986,0.929,306,-1,562,"comm2",1
37.8520550034489,41.3037500107044,35.343,0.929,306,0,562,"comm2",1
74,89.3572406241445,61.11,0.929,306,1,562,"comm2",1
33.0104515050167,35.0079946702199,33.01,0.929,562,-1,562,"comm3",1
55.5921225757219,64.0588163130619,55.592,0.929,562,0,562,"comm3",1
109,142.274021352313,109,0.929,562,1,562,"comm3",1
53.2082210242588,58.6680312616302,52.95,0.929,534,-1,562,"comm4",1
72.3450441517302,84.0338431286788,71.81,0.929,534,0,562,"comm4",1
115,152.932384341637,113.06,0.929,534,1,562,"comm4",1
16.4634146341463,16.8783542039356,16.035,0.929,302,-1,630,"comm1",1
27.2694232880703,29.153504324065,25.364,0.929,302,0,630,"comm1",1
68,76.4865079365079,53.015,0.929,302,1,630,"comm1",1
26.806699986492,27.9535835214447,25.569,0.929,289,-1,630,"comm2",1
40.8601066318347,46.0300209731308,37.407,0.929,289,0,630,"comm2",1
79,169.980357142857,61.28,0.929,289,1,630,"comm2",1
35.750315258512,37.8409090909091,35.453,0.929,547,-1,630,"comm3",1
57.7106257309277,66.3310787213053,56.643,0.929,547,0,630,"comm3",1
112,161.920634920635,106.421,0.929,547,1,630,"comm3",1
50.5090353779588,54.8242944106254,50.509,0.929,630,-1,630,"comm4",1
73.2937094388929,85.8136868263445,73.294,0.929,630,0,630,"comm4",1
125,184.464285714286,125,0.929,630,1,630,"comm4",1
14.9507672060539,15.2521542504431,14.576,0.929,307,-1,707,"comm1",1
25.6209620997026,27.2842455523499,23.692,0.929,307,0,707,"comm1",1
70,80.7847241867044,52.664,0.929,307,1,707,"comm1",1
28.5971165398478,29.7604340567613,27.427,0.929,338,-1,707,"comm2",1
