"samp","chaoest","cover","coverage","l","size","comm","reps"
147.764925373134,234.430267062315,140.474,0.471,-1,398,"soil.Illinois",1
209.167552119413,524.819428607362,193.094,0.471,0,398,"soil.Illinois",1
264,794.25644670722,238.666,0.471,1,398,"soil.Illinois",1
175.225663716814,312.264822134388,175.226,0.47,-1,398,"soil.Canada",1
229.628012099608,639.351379213486,229.628,0.47,0,398,"soil.Canada",1
275,947.865730165981,275,0.47,1,398,"soil.Canada",1
143.311239193084,210.690021231422,122.099,0.409,-1,446,"soil.Brazil",1
229.319329303216,570.780081416549,173.898,0.409,0,446,"soil.Brazil",1
297,868.260712506228,210.967,0.409,1,446,"soil.Brazil",1
100.260080645161,129.044213263979,82.766,0.408,-1,446,"soil.Florida",1
205.771366274699,467.772698972658,136.209,0.408,0,446,"soil.Florida",1
281,762.146045658377,168.206,0.408,1,446,"soil.Florida",1
165.212624584718,261.833773087071,137.623,0.408,-1,446,"soil.Illinois",1
238.683673648614,593.263904766986,180.755,0.408,0,446,"soil.Illinois",1
299,865.238664673642,213.181,0.408,1,446,"soil.Illinois",1
196.946534653465,351.897163120567,196.947,0.408,-1,446,"soil.Canada",1
268.096786377742,928.26539038519,268.097,0.408,0,446,"soil.Canada",1
323,1481.99551569507,323,0.408,1,446,"soil.Canada",1
162.250161603103,239.483747609942,137.036,0.457,-1,501,"soil.Brazil",1
240.272698967303,620.485286308567,183.546,0.457,0,501,"soil.Brazil",1
314,1145.3373253493,222.021,0.457,1,501,"soil.Brazil",1
98.6251473477407,122.553816046966,85.176,0.457,-1,501,"soil.Florida",1
203.725010237123,506.500127040714,144.37,0.457,0,501,"soil.Florida",1
300,1089.94951273923,188.265,0.457,1,501,"soil.Florida",1
166.11581733951,248.019801980198,150.154,0.457,-1,501,"soil.Illinois",1
248.351000831009,633.450100749349,209.733,0.457,0,501,"soil.Illinois",1
324,1060.63387510693,260.692,0.457,1,501,"soil.Illinois",1
199.365369340747,330.474934036939,199.365,0.457,-1,501,"soil.Canada",1
276.601258502235,852.790283680151,276.601,0.457,0,501,"soil.Canada",1
343,1461.73223250469,343,0.457,1,501,"soil.Canada",1
126.641539695269,163.189440993789,100.349,0.451,-1,562,"soil.Brazil",1
221.771592831022,465.741903711275,142.498,0.451,0,562,"soil.Brazil",1
323,863.458185053381,178.534,0.451,1,562,"soil.Brazil",1
119.637878787879,151.723772858518,104.836,0.451,-1,562,"soil.Florida",1
239.974451226045,575.103303631542,177.362,0.451,0,562,"soil.Florida",1
345,1095.49916834287,231.26,0.451,1,562,"soil.Florida",1
158.556224899598,220.476923076924,122.814,0.451,-1,562,"soil.Illinois",1
245.895719157753,501.780130941651,163.008,0.451,0,562,"soil.Illinois",1
330,801.480998983223,195.174,0.451,1,562,"soil.Illinois",1
245.601866251944,435.472375690609,245.602,0.451,-1,562,"soil.Canada",1
327.051087491313,905.009173613186,327.051,0.451,0,562,"soil.Canada",1
395,1277.51023131673,395,0.451,1,562,"soil.Canada",1
156.75355450237,208.343848580442,144.848,0.499,-1,630,"soil.Brazil",1
