"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
70,102.608540925267,48.567,0.906,246,1,562,"comm1",1
25.4425648461415,26.6015862301722,23.806,0.906,218,-1,562,"comm2",1
38.4953831073385,42.013217405893,34.115,0.906,218,0,562,"comm2",1
73,90.9679715302491,54.668,0.906,218,1,562,"comm2",1
36.8030762060126,39.311970074813,36.253,0.906,454,-1,562,"comm3",1
57.4789902777447,67.5122005464926,55.628,0.906,454,0,562,"comm3",1
110,166.149911032028,100.628,0.906,454,1,562,"comm3",1
46.6810523204257,50.8191489361703,46.681,0.906,562,-1,562,"comm4",1
70.3211610775463,84.3954209277184,70.321,0.906,562,0,562,"comm4",1
127,185.416703736655,127,0.906,562,1,562,"comm4",1
16.3266145619087,16.734375,16.006,0.927,346,-1,630,"comm1",1
28.1292488856601,30.6056937358082,26.426,0.927,346,0,630,"comm1",1
75,95.8002645502646,59.687,0.927,346,1,630,"comm1",1
25.2224199288256,26.2326227988879,24.528,0.927,363,-1,630,"comm2",1
39.1566095382851,42.8078984273967,36.811,0.927,363,0,630,"comm2",1
83,101.353174603175,68.519,0.927,363,1,630,"comm2",1
36.7227979274611,38.9339752407153,36.723,0.927,630,-1,630,"comm3",1
58.2745248386782,68.0927846780351,58.275,0.927,630,0,630,"comm3",1
115,185.421375661376,115,0.927,630,1,630,"comm3",1
45.9162424803332,49.4472173696033,45.831,0.927,614,-1,630,"comm4",1
68.8048681905745,79.9503506078919,68.558,0.927,614,0,630,"comm4",1
122,172.544642857143,120.845,0.927,614,1,630,"comm4",1
15.690397714788,16.0238202247191,15.428,0.928,389,-1,707,"comm1",1
26.7109125029726,29.3785733683234,25.164,0.928,389,0,707,"comm1",1
80,126.47961939051,62.139,0.928,389,1,707,"comm1",1
27.0730108866381,28.1111736877675,25.83,0.928,307,-1,707,"comm2",1
43.8104265056978,47.4158903265766,39.921,0.928,307,0,707,"comm2",1
85,102.261264902,66.328,0.928,307,1,707,"comm2",1
36.0667436322967,37.951794403893,36.067,0.928,707,-1,707,"comm3",1
58.6089853323766,67.4382848309888,58.609,0.928,707,0,707,"comm3",1
125,179.11085572843,125,0.928,707,1,707,"comm3",1
54.0669551108707,58.4612321386742,53.265,0.928,589,-1,707,"comm4",1
79.8054834938052,91.9359655152843,77.773,0.928,589,0,707,"comm4",1
135,183.589071689124,127.212,0.928,589,1,707,"comm4",1
