"chaotile","l","inds","reps","comm"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
61.85,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
37.65,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
77.9,-1,150,60,"com1"
