Id,Observation Date,Family,Genus,Species,Names of Collectors,Diameter at 1.3m,Max Diameter,Max Diameter POM,Condition Codes,Location Codes,Sampling Period,Comments,Data Level,Sampling Unit Name,Latitude,Longitude,Method,Subplot Number,1ha Plot X Coordinate,1ha Plot Y Coordinate,Tree Number,Site Name,1ha Plot Number,Elevation,Protocol Version,Data Set Creator Institution,Data Set Creator Scientist
445928,3/23/12,Dilleniaceae,Tetracera,volubilis,Roni Saenz,13.3,,,,,2011.01,,Level 0,VL-BCI-3-828512,,,,14,,,828512,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445931,3/23/12,Fabaceae,Bauhinia,guianensis,Roni Saenz,16.6,,,,,2011.01,,Level 0,VL-BCI-3-828515,,,,15,,,828515,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445938,3/23/12,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,10,,,K,,2011.01,,Level 0,VL-BCI-3-839518,,,,9,,,839518,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445939,3/23/12,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,10,,,K,,2011.01,,Level 0,VL-BCI-3-839519,,,,9,,,839519,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445940,3/23/12,Fabaceae,Bauhinia,guianensis,Antonio Aguilar Valdes,13.7,,,,,2011.01,,Level 0,VL-BCI-3-839533,,,,8,,,839533,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-3,189.50415,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445942,3/27/12,Malpighiaceae,Hiraea,faginea,Biancolini Castro,14.4,,,,,2011.01,,Level 0,VL-BCI-4-001457,,,,1,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445943,3/27/12,Bignoniaceae,Arrabidaea,candicans,Biancolini Castro,12,,,,,2011.01,,Level 0,VL-BCI-4-001464.101,,,,2,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445944,3/27/12,Celastraceae,Prionostemma,asperum,Biancolini Castro,13.9,,,,,2011.01,,Level 0,VL-BCI-4-001480.101,,,,5,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445945,3/27/12,Hippocrateaceae,Hippocratea,volubilis,Biancolini Castro,11.9,,,,,2011.01,,Level 0,VL-BCI-4-001484.101,,,,5,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445946,3/27/12,Bignoniaceae,Arrabidaea,candicans,Antonio Aguilar Valdes,14.1,,,,,2011.01,,Level 0,VL-BCI-4-002103.101,,,,10,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445947,3/27/12,Bignoniaceae,Arrabidaea,candicans,Antonio Aguilar Valdes,14.4,,,,,2011.01,,Level 0,VL-BCI-4-002103.202,,,,10,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445948,3/27/12,Bignoniaceae,Arrabidaea,candicans,Antonio Aguilar Valdes,11.9,,,,,2011.01,,Level 0,VL-BCI-4-002103.303,,,,10,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445949,3/27/12,Bignoniaceae,Arrabidaea,candicans,Antonio Aguilar Valdes,12.5,,,,,2011.01,,Level 0,VL-BCI-4-002105,,,,10,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445950,3/27/12,Unknown,Unknown,unknown,Roni Saenz,10,,,,,2011.01,,Level 0,VL-BCI-4-002117,,,,14,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445951,3/27/12,Bignoniaceae,Amphilophium,paniculatum,Roni Saenz,12.5,,,,,2011.01,,Level 0,VL-BCI-4-002118,,,,14,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445952,3/27/12,Menispermaceae,Abuta,racemosa,Antonio Aguilar Valdes,20,,,,,2011.01,,Level 0,VL-BCI-4-002167,,,,9,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
445953,3/27/12,Fabaceae,Bauhinia,reflexa,Antonio Aguilar Valdes,14.2,,,,,2011.01,,Level 0,VL-BCI-4-002168,,,,9,,,,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-4,205.36584,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,Richard Condit
